Hoid, 0, 1.0
Hoid, 0, 1.0
Hoid, 0, 1.0
Hoid, 0, 16.0
Poid, 6, 3.0
Poid, 9, 3.0
Poid, 7, 4.0
Poid, 2, 4.0
Poid, 0, 4.0
Poid, 9, 5.0
Poid, 0, 0.0
Hoid, 0, 0.0
Hoid, 0, 4.0
Hoid, 0, 21.0
Hoid, 0, 18.0
Hoid, 0, 30.0
Hoid, 0, 24.0
Hoid, 0, 1.0
Hoid, 0, 1.0
Poid, 4, 17.0
Poid, 9, 12.0
Poid, 8, 19.0
Hoid, 0, 1.0
Hoid, 0, 50.0
Hoid, 0, 21.0
Poid, 5, 9.0
Poid, 5, 9.0
Hoid, 0, 36.0
Hoid, 0, 3.0
Poid, 40, 28.0
Poid, 47, 32.0
Hoid, 0, 0.0
Hoid, 0, 2.0
Poid, 0, 2.0
Hoid, 0, 5.0
Hoid, 0, 11.0
Hoid, 0, 2.0
Hoid, 0, 6.0
